Date,Open,High,Low,Close,Volume
07/18/2022,"192.50","199.67","189.80","190.92","16,322,850"
07/15/2022,"175.58","189.22","174.56","189.11","16,319,120"
07/14/2022,"175.56","177.52","171.82","174.78","9,039,457"
07/13/2022,"170.50","179.18","169.70","176.56","12,734,420"
07/12/2022,"177.33","179.78","173.42","174.45","6,845,264"
07/11/2022,"184.73","184.99","176.89","177.34","6,048,447"
07/08/2022,"186.02","189.91","182.75","186.98","5,835,680"
07/07/2022,"184.27","190.21","183.50","189.27","6,334,545"
07/06/2022,"185.20","186.22","180.82","184.06","5,753,385"
07/05/2022,"176.28","185.92","172.68","185.88","7,339,023"
07/01/2022,"176.49","180.10","174.27","179.95","5,201,583"
06/30/2022,"177.07","179.45","170.30","174.87","7,894,710"
06/29/2022,"179.55","180.67","175.10","178.36","5,766,847"
06/28/2022,"189.20","192.20","179.37","179.60","7,201,897"
06/27/2022,"191.77","191.78","182.39","189.14","8,363,879"
06/24/2022,"183.50","191.19","181.84","190.85","12,423,970"
06/23/2022,"180.50","182.76","175.87","181.71","9,538,226"
06/22/2022,"170.75","182.82","170.20","178.89","12,010,620"
06/21/2022,"177.60","178.62","169.80","170.91","12,177,590"
